date	minute	lat	lon	depth	mag
01-Nov-1994	1213	47.655	-69.876	12.8	0.1
08-Nov-1994	472	47.523	-69.896	17.4	-0.5
13-Nov-1994	1066	47.486	-70.367	7	1.9
17-Nov-1994	418	47.219	-70.751	24.1	2.4
23-Nov-1994	574	47.591	-70.291	11.7	0.1
25-Nov-1994	1043	47.483	-69.971	8.2	0.5
01-Dec-1994	782	47.437	-70.314	10.8	3
01-Dec-1994	81	47.459	-70.132	6.9	-0.1
03-Dec-1994	823	47.255	-70.383	4.6	-0.1
13-Dec-1994	197	47.427	-70.053	11.5	0
19-Dec-1994	128	47.629	-69.958	15	-0.6
24-Dec-1994	242	47.232	-70.442	16.4	0
25-Dec-1994	1402	47.401	-70.394	8	0.3
27-Dec-1994	1383	47.685	-70.064	9.7	0.1
04-Jan-1995	838	47.42	-70.324	10.4	1.8
07-Jan-1995	1372	47.534	-70.382	18	1.3
08-Jan-1995	766	47.468	-70.003	14.7	1.6
12-Jan-1995	561	47.587	-69.916	18	2.1
12-Jan-1995	204	47.607	-69.952	11.8	2.4
15-Jan-1995	343	47.752	-69.967	14.9	0.4
16-Jan-1995	34	47.62	-70.178	11.2	-0.5
18-Jan-1995	501	47.498	-70.063	10	-0.3
19-Jan-1995	535	47.45	-70.037	12.4	-0.4
28-Jan-1995	762	47.432	-70.073	7.2	-0.1
30-Jan-1995	185	47.582	-69.999	8.8	1
20-Feb-1995	554	47.391	-70.392	5.2	1.7
21-Feb-1995	25	47.532	-70.102	19.7	-0.7
22-Feb-1995	999	47.463	-70.005	19.3	2
22-Feb-1995	477	47.621	-70.34	18	1.6
23-Feb-1995	1438	47.46	-70.424	18	-0.6
24-Feb-1995	963	47.539	-70.263	11.2	-0.9
27-Feb-1995	546	47.451	-70.026	7.9	0.4
02-Mar-1995	895	47.547	-70.434	18	0.6
02-Mar-1995	476	47.628	-70.226	18	-0.6
02-Mar-1995	342	47.223	-70.765	18	0.8
03-Mar-1995	1414	47.696	-70.075	9.7	-0.4
04-Mar-1995	948	47.431	-70.352	17.3	1.1
04-Mar-1995	652	47.304	-70.435	8.5	2.4
04-Mar-1995	636	47.406	-70.39	7.7	1
04-Mar-1995	330	47.256	-70.44	18	0.6
05-Mar-1995	1031	47.564	-69.995	15.4	-0.1
11-Mar-1995	679	47.528	-70.317	9.4	0.5
11-Mar-1995	641	47.611	-70.84	18	0.4
13-Mar-1995	1230	47.714	-70.194	18	-0.1
13-Mar-1995	13	47.695	-70.12	4.4	-0.4
17-Mar-1995	730	47.723	-70.174	9.1	1
22-Mar-1995	1140	47.6	-70.091	22.8	-0.2
23-Mar-1995	1401	47.365	-70.185	18	-0.4
25-Mar-1995	1234	47.71	-70.001	21.3	1.8
25-Mar-1995	436	47.538	-69.994	14.7	-0.3
26-Mar-1995	652	47.275	-70.447	18	1.1
01-Apr-1995	130	47.544	-70.398	6.3	0.7
02-Apr-1995	328	47.665	-69.886	12.6	0
04-Apr-1995	116	47.586	-69.947	11.4	-0.3
06-Apr-1995	809	47.512	-70.208	10.6	-0.1
09-Apr-1995	233	47.391	-70.465	6.2	0.9
15-Apr-1995	455	47.618	-70.231	18	0
16-Apr-1995	1072	47.46	-70.137	7.9	-0.3
16-Apr-1995	563	47.539	-69.978	11.5	-0.5
20-Apr-1995	408	47.909	-69.757	18	-0.4
23-Apr-1995	1364	47.524	-70.365	6.1	-0.2
25-Apr-1995	735	47.438	-70.437	4.2	0.7
30-Apr-1995	650	47.389	-70.447	5.1	-0.2
01-May-1995	467	47.46	-70.11	8	-0.6
02-May-1995	1194	47.449	-70.377	7.7	0.9
08-May-1995	415	47.659	-70.163	12.4	-0.2
08-May-1995	158	47.8	-69.808	22.3	-0.2
14-May-1995	1302	46.928	-70.9	18	2.4
18-May-1995	944	47.502	-70.044	14.6	2.8
03-Jun-1995	847	47.698	-70.081	12.4	0.3
09-Jun-1995	1330	47.381	-70.43	6.4	1.2
10-Jun-1995	971	47.695	-70.205	4	1
10-Jun-1995	563	47.584	-70.233	6.4	0
11-Jun-1995	1087	47.441	-70.042	11.8	1.8
16-Jun-1995	742	47.394	-70.447	6.4	2
18-Jun-1995	1381	47.561	-70.268	10.6	0.2
22-Jun-1995	717	47.435	-70.388	5	-0.5
23-Jun-1995	216	47.443	-70.134	20.6	-0.4
23-Jun-1995	211	47.368	-70.451	5	-0.5
27-Jun-1995	48	47.469	-70.046	16.7	-0.8
29-Jun-1995	70	47.399	-70.269	16	1.2
30-Jun-1995	421	47.562	-70.238	6.8	-0.9
04-Jul-1995	701	47.6	-70.098	26.6	2.5
15-Jul-1995	1237	47.66	-69.868	13.3	0.2
18-Jul-1995	786	47.571	-69.998	6.6	1.9
19-Jul-1995	593	47.568	-70.001	13.7	-0.2
19-Jul-1995	300	47.638	-70.154	12.6	-0.8
19-Jul-1995	287	47.552	-70.178	18.4	-0.7
19-Jul-1995	80	47.7	-70.122	9	-0.4
24-Jul-1995	1143	47.797	-69.919	23.2	1.6
24-Jul-1995	208	47.566	-69.997	5.1	-0.3
27-Jul-1995	240	47.443	-70.289	18	-0.9
31-Jul-1995	200	47.531	-69.918	9.7	2.1
03-Aug-1995	1055	47.633	-70.076	21.3	0.2
03-Aug-1995	825	47.731	-70.108	10.6	0.8
04-Aug-1995	1086	47.429	-70.192	7.9	-0.1
06-Aug-1995	276	47.555	-70.378	9.4	0.8
07-Aug-1995	724	46.832	-71.11	18	2
10-Aug-1995	1019	47.606	-69.88	15.2	0.4
11-Aug-1995	590	47.603	-70.203	9.6	-0.1
12-Aug-1995	134	47.467	-70.399	18	1
13-Aug-1995	141	47.496	-70.269	16	-0.8
